Date,Open,High,Low,Close,Adj Close,Volume
2024-01-09,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,185.13999938964844,42841800
2024-01-10,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,186.19000244140625,46792900
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,185.58999633789062,49128400
2024-01-12,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,185.9199981689453,40444700
2024-01-16,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,183.6300048828125,65603000
2024-01-17,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,182.67999267578125,47317400
2024-01-18,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,188.6300048828125,78005800
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,191.55999755859375,68741000
2024-01-22,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,193.88999938964844,60133900
2024-01-23,195.02000427246094,195.75,193.8300018310547,195.17999267578125,195.17999267578125,42355600
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789062,194.5,194.5,53631300
2024-01-25,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,194.1699981689453,54822100
2024-01-26,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,192.4199981689453,44594000
2024-01-29,192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,191.72999572753906,47145600
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,188.0399932861328,55859400
2024-01-31,187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,184.39999389648438,55467800
2024-02-01,183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,186.86000061035156,64885400
2024-02-02,179.86000061035156,187.3300018310547,179.25,185.85000610351562,185.85000610351562,102518000
2024-02-05,188.14999389648438,189.25,185.83999633789062,187.67999267578125,187.67999267578125,69668800
2024-02-06,186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,189.3000030517578,43490800
2024-02-07,190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,189.41000366210938,53402000
